model_name,accuracy,precision,recall,f1_score,roc_auc,training_time_seconds
Random Forest (Baseline),0.9998184710072265,0.8779443254817987,0.9981740718198417,0.9342067786955284,0.9996783718812974,214.683472
LightGBM,0.9998137559684532,0.8751334044823906,0.9981740718198417,0.9326130224623258,0.9997320217453036,32.895008
Random Forest (Optimisé),0.999803540051111,0.8691043985161632,0.9981740718198417,0.9291784702549575,0.9995461619195278,456.625253
XGBoost,0.999486846613502,0.7163461538461539,0.9975654290931223,0.83388450775884,0.9997118266595153,29.371826
